file,artist,title,lyrics,mood,year
TRATIGJ128F423B3A0.h5,David Phelps,One King (Album Version),,sad,2007
TRATJXC128F93124CE.h5,Darden Smith,Perfect Moment,,happy,2002
TRATPKE128F1467FE7.h5,VHS Or Beta,You Got Me (The Juan Maclean Dub),,happy,2006
TRATRMT128F4249901.h5,Righteous Brothers,Little Latin Lupe Lu,,happy,1975
TRATRMZ128F42A9AAC.h5,Kane,Rain Down On Me,,happy,2001
TRATTGW128F427A82D.h5,Foals,Red Socks Pugie,,sad,2008
TRATTNI128E0799697.h5,Faith Hill,I Want You (Album Version),,happy,2005
TRATVRH12903C9EE09.h5,Liquid Gang,I Applaud You  (LP Version),,happy,2000
TRATWUD128F9309671.h5,Carolyn Arends,Happy,,happy,1999
TRATZQS128F1467D4B.h5,Devo,Going Under,,sad,1981
TRAUCZX128F149D9AE.h5,Tracy Byrd,Walking To Jerusalem,,happy,1996
TRAUEWN128F932C32C.h5,Casiotone For The Painfully Alone,White Jetta,,sad,2009
TRAUGLZ128F14AE500.h5,Michael Card,Arise_ My Love (Song Of Solomon),,sad,1991
TRAUGTI128F4273726.h5,Rachael Starr,Till There Was You (John Creamer & Stephane K Remix),,sad,2005
TRAUGYG128F428A174.h5,Rancid,Meteor Of War (Album Version),,sad,2000
TRAUIOQ128F92EDC51.h5,Circle Jerks,Question Authority,,sad,1982
TRAUJOU128F9325DE7.h5,Nick Cave & The Bad Seeds,Wings Off Flies (2009 Digital Remaster),,sad,1984
TRAUJVS128F93324DA.h5,The Gathering,Gaya's Dream,,sad,2001
TRAUNPM12903CB7CCC.h5,Jefferson Starship,Fading Lady Light,,happy,1979
TRAUOEY128F421CBD3.h5,Amy Winehouse,Valerie,,sad,2007
TRAUOUZ128E078F8BB.h5,Eazy-E,I'mma Break It Down,,sad,1988
TRAUPWA128F147F2CF.h5,Heaven 17,Come Live With Me (12'' Extended Version) (2006 Digital Remaster),,sad,1983
TRAUREN128F931F5AB.h5,Faron Young,It's Four In The Morning,,sad,1986
TRAURRP128F4261B94.h5,Dixie Chicks,Give It Up Or Let Me Go,,happy,1998
TRAUTXO128F4263C8E.h5,Loretta Lynn,I'd Rather Have Jesus,,sad,1965
TRAUVAQ128F92DC677.h5,Fake Problems,Tabernacle Song,,sad,2009
TRAUVVR128F425A925.h5,Eurythmics,A Little Of You,,sad,1986
TRAUWFN128F1462E09.h5,Yellowcard,One Year_ Six Months,,sad,2003
TRAUWQL128F424696E.h5,Elvenking,Trows Kind,,sad,2006
TRAUZFY128F42BCE57.h5,Jason Michael Carroll,No Good In Goodbye,,sad,2007
TRAUZTR128F9351D2A.h5,Michael Jackson,I Wanna Be Where You Are,,sad,1972
TRAVANT128F92E3F71.h5,Mariah Carey,Someday,,sad,1990
TRAVBAH128F9305DFC.h5,Helmet,Give It,,sad,1992
TRAVBCR128F933AE8E.h5,Dax Riggs,Radiation Blues,,sad,2007
TRAVDDJ128F92EF09C.h5,Creedence Clearwater Revisited,Proud mary,,happy,1998
TRAVDQQ128F421B864.h5,Elvenking,A Fiery Stride (Ltd. Edition Bonus),,happy,2004
TRAVGKM128F92C58B4.h5,Fernando Ortega,Don't Let Me Come Home A Stranger (LP Version),,sad,1997
TRAVGNH128F428CBA9.h5,Amorphis,Into Hiding,,sad,1994
TRAVGZS128F9338603.h5,Tammy Wynette,I Stayed Long Enough,,happy,1968
TRAVJHK128E078370B.h5,LL Cool J,Headsprung,,happy,2004
TRAVKGE128F92E5944.h5,Kris Kristofferson,Snakebit,,sad,1981
TRAVLWL128F424EF6A.h5,The All American Rejects,The Future Has Arrived,,happy,2007
TRAVMFC128F428CDE0.h5,Camp Lo,Sparkle,,sad,1997
TRAVOPU128F9360B7D.h5,Daniel Johnston,High Horse,,sad,2009
TRAVQUU128F92FA4E0.h5,Marc Broussard,Going Home (Album Version),,sad,2008
TRAVRPL128F145E874.h5,Lifer,Breathless,,sad,2001
TRAVRTO128F4280C14.h5,Future Leaders of the World,Spotlight,,sad,2004
TRAVSQE12903CB6879.h5,Zeromancer,The Death Of Romance,,sad,2010
TRAVSVL128F14B12BE.h5,Deftones,Lotion (LP Version),,sad,1997
TRAVSZP128F92C53A0.h5,Jesse Malin,Going Out West,,sad,2004
TRAVWIP128E078FA3D.h5,Naughty By Nature,Family Tree,,sad,2002
TRAVXBL128F42BB389.h5,Michael Jackson,Girl You're So Together,,happy,1984
TRAVXII128F92FCC6D.h5,Stephen Marley,Mind Control,,sad,2005
TRAVYXL128EF34722F.h5,Novembre,Reason,,happy,2006
TRAVZWX128F92EC110.h5,Berlin,Blink Of An Eye (Alternative),,happy,2002
TRAWAHY128F14AA11E.h5,Leon Russell,Out In The Woods,,sad,1976
TRAWBOE128F92F2F46.h5,Pearl Jam,You Are,,sad,2002
TRAWCGS128F934BE2F.h5,Shai Hulud,We Who Finish Last,,sad,2008
TRAWEDC128F14A2EBA.h5,Y&T,Contagious,,happy,1987
TRAWEST128F4242614.h5,Story Of The Year,Meathead (Album Version) (Non-PA),,happy,2005
TRAWFYX12903CA4766.h5,Atomship,Whitfield,,sad,2004
TRAWGYZ128F92C494B.h5,Patti Smith Group,Wave,,sad,1979
TRAWHYL128F42934D4.h5,ATB,Believe In Me (Clubb Mix),,happy,2005
TRAWIJG128F42B502C.h5,Shania Twain,Two Hearts One Love,,happy,1999
TRAWIQY12903CCC64A.h5,Evanescence,Missing (Live in Europe),,sad,2003
TRAWJBE12903C9EB05.h5,Faith Hill,Unsaveable (Album Version),,sad,2002
TRAWJPF128F42626DB.h5,Suicidal Tendencies,Monopoly On Sorrow,,sad,1992
TRAWNOJ128F4241807.h5,Dark new Day,Free (Album Version),,sad,2005
TRAWODX128F42AC413.h5,Peter Gallagher,Everytime It Rains,,sad,2005
TRAWOHD128F148D176.h5,Rickie Lee Jones,Away From The Sky,,sad,1989
TRAWOPJ128F14661D4.h5,Raze,Celebration (The Plan Album Version),,happy,2000
TRAWPFX128F92E58B5.h5,Bebo Norman,Sunday,,sad,2006
TRAWPKO128F423841E.h5,Van Halen,Runaround (Live Version),,happy,1991
TRAWQSO128F424E2F9.h5,Faith Hill,Red Umbrella (Album Version),,happy,2007
TRAWTUV128F426DD46.h5,Happy Mondays,Grandbag's Funeral,,sad,1990
TRAWUUP12903CEF2F9.h5,Letters To Cleo,Co-Pilot (Album Version),,happy,1997
TRAWVNL128F9327983.h5,Bad Company,Call On Me,,happy,1975
TRAWWIK128E078D19C.h5,Marshall Crenshaw,Rave On (Live 1982),,happy,2000
TRAWWQM128F148C796.h5,Kiss,Every Time I Look At You,,sad,1992
TRAWYNV128F92F5E7E.h5,Guns N' Roses,Catcher In The Rye,,sad,2008
TRAXBTV12903CD8399.h5,Danielle Bollinger,When the Broken Hearted Love Again,,happy,2006
TRAXDBM128E0785BD8.h5,Missy Higgins,The Special Two (Australian Version),,sad,2007
TRAXDRW128F428A030.h5,Dropkick Murphys,The Only Road (Album Version),,sad,2011
TRAXIPO128F14923B2.h5,Carpenters,An Old Fashioned Christmas,,sad,1992
TRAXJBW128E0788652.h5,Sick Of It All,Consume (LP Version),,sad,1994
TRAXJHG128F427EA02.h5,3 Doors Down,Be Like That,,sad,1999
TRAXLIU128E07860D4.h5,DMX,I'ma Bang,,sad,2001
TRAXLPR128F428E466.h5,The White Stripes,A Martyr For My Love For You,,happy,2007
TRAXLZU12903D05F94.h5,Rick Astley,Never Gonna Give You Up,,happy,1987
TRAXOQD12903CDD59D.h5,The Berzerker,Pure Hatred,,sad,2002
TRAXOQP128F930DD49.h5,Mungo Jerry,Pushbike Song,,happy,2001
TRAXQUZ128F42B77BE.h5,Bone Thugs-N-Harmony,Servin' Tha Fiends,,sad,2000
TRAXRSK128F42B44D2.h5,Bad Religion,Infected,,sad,1994
TRAXVGE128E0783F1D.h5,Gwen Stefani,What You Waiting For?,,happy,2004
TRAXWLM128F1453E3B.h5,Juelz Santana,There It Go (The Whistle Song),,happy,2005
TRAYANL128F9316BF9.h5,The Game,Da Shit,,sad,2006
TRAYBTO128F932008B.h5,Jesse Malin,Since You're In Love,,sad,2004
TRAYDXM128F9317358.h5,Franz Ferdinand,No You Girls,,happy,2009
TRAYGHE12903CD213E.h5,The Prodigy,What Evil Lurks,,sad,1991
TRAYICR128F4282520.h5,Kyle Riabko,Doesn't Get Much Better,,happy,2005
TRAYKTU128F934C82A.h5,Y&T,Mean Streak,,sad,1983
TRAYLRS128F427FE81.h5,Scar Symmetry,Abstracted,,sad,2006
TRAYPMR128E0785DD1.h5,Nick Cave & The Bad Seeds,Loverman,,sad,1994
TRAYQKQ128F1491182.h5,Slick Rick,Kill Niggaz,,sad,1999
TRAYQLF128F933B4EF.h5,Rihanna,Breakin' Dishes,,sad,2007
TRAYSMO128F9318E7C.h5,The Fray,Absolute,,sad,2009
TRAYUCR128F92E574F.h5,Santana,Interplanetary Party,,happy,2007
TRAYUEL128F4290B28.h5,Roger Sanchez,Lost,,sad,2006
TRAYYGG128F1483C70.h5,Shawn Colvin,These Four Walls,,sad,2006
TRAZACV128F426983D.h5,Simple Minds,See The Lights (2002 Digital Remaster),,sad,1991
TRAZASM128F932FBEE.h5,Franz Ferdinand,Do You Want To,,happy,2005
TRAZASN128F427DB44.h5,Aswad,Ina Your Rights,,sad,1981
TRAZBBP128E07845D4.h5,Kanye West,School Spirit Skit 2,,happy,2003
TRAZCOT128E0792471.h5,Guns N' Roses,You're Crazy,,happy,1987
TRAZDQQ128F93590E2.h5,Ned Miller,From a Jack To a King,,happy,1963
TRAZDTT128F9346306.h5,The Shangri-Las,Out in the Streets,,happy,1965
TRAZEBG128F1456D2E.h5,MxPx,You Found Me,,happy,1995
TRAZHPR128F931C1E6.h5,Tony Joe White,If I Ever Saw A Good Thing (Album Version),,happy,1973
TRAZHUK128E0789114.h5,Akon,Lonely,,sad,2004
TRAZJGD128F4289D2A.h5,Gym Class Heroes,To Bob Ross With Love (Album Version),,happy,2005
TRAZJLS128F933BC09.h5,Stellar Kart,I Give Up (Album Version),,sad,2008
TRAZJOI12903CDA550.h5,Bon Jovi,The Distance,,happy,2002
TRAZJRY128F92E9CD6.h5,FFH,You And Only You,,happy,2004
TRAZJUH128F934465B.h5,Hanoi Rocks,Mental Beat,,happy,1983
TRAZQET128F42A0449.h5,Phantom Planet,After Hours,,sad,2004
TRAZRXP12903CBD6A9.h5,Vonray,Part Of Me (LP Version),,sad,2003
TRAZSBD128F14A27AB.h5,Dionne Warwick,I've Been Loving You Too Long (LP Version),,happy,1969
TRAZTWI128F424CF73.h5,Michael Stanley Band,He Can't Love you,,happy,1980
TRAZUVU128F42BABF4.h5,Jesse Malin,Broken Radio,,sad,2007
TRAZVMZ128F1476A87.h5,Twila Paris,Come Emmanuel (House Of Worship Album Version),,happy,2003
TRAZVYP128F1459AD9.h5,Leona Naess,Star Signs,,sad,2003
TRAZVZJ128F92EF28A.h5,Set Your Goals,summer jam,,happy,2009
TRAZZIP128F429BF42.h5,Marty Robbins,A Castle In The Sky,,happy,2008
TRBAAGQ128F148D17E.h5,Urge Overkill,Crackbabies,,sad,1993
TRBACUF128F4247F8C.h5,Mint Condition,Call Me,,sad,1999
TRBADTB128F14AE3A4.h5,Erin O'Donnell,You Were The One (Wide Wide World Album Version),,sad,2003
TRBAFJQ128F4259FB5.h5,Annie Lennox,Little Bird,,happy,1992
TRBAGMH128F423A574.h5,Mudhoney,New Meaning,,sad,2008
TRBAHEH128F9327D39.h5,Wyclef Jean,Guantanamera,,happy,1997
TRBAJPA128F933BDBC.h5,LORE,Release,,sad,2006
TRBAKJC128F93399FB.h5,Bukka White,Sleepy Man Blues,,sad,1940
TRBALEH128E078B419.h5,Static-X,Night Terrors (Album Version),,sad,2005
TRBALIJ128F14884B5.h5,Iggy Pop,Main Street Eyes,,sad,1990
TRBALVT128F145B6CB.h5,Billie Jo Spears,Misty Blue,,sad,1976
TRBAOTY128F9327A9C.h5,Jennifer Lopez,Still,,sad,2002
TRBAOXY128F933D3C8.h5,Sister Hazel,Vacation Rain (Album),,happy,2010
TRBAPZQ128F4240B93.h5,Justin Timberlake,Love Don't Love Me (Justin Timberlake) (Amended Version),,happy,2003
TRBARSX12903D03AE5.h5,Sade,Morning Bird,,sad,2010
TRBAUBI128F424142E.h5,Slipknot,Skin Ticket (Live version) (Album Version),,sad,2001
TRBAWKB128F931BAEE.h5,Owl City,On The Wing,,happy,2008
TRBAWQK128F42743A9.h5,Keb' Mo',The Door,,sad,2000
TRBAZFD12903CB641D.h5,Brooke White,Hold Up My Heart,,happy,2009
TRBAZRP128F934BC71.h5,The Ocean,Eoarchaean,,sad,2007
TRBBAHD128F428E0FE.h5,Tones On Tail,Burning Skies,,sad,1987
TRBBDAH128F92E625E.h5,City High,What Would You Do?,,sad,2001
TRBBEGG128F9314BAA.h5,Martina McBride,Heart Trouble,,sad,1993
TRBBEHB128E0784F71.h5,Reach 454,6 Yrs (Album Version ),,sad,2003
TRBBHPQ128F145A7F8.h5,John Mellencamp,Down And Out In Paradise,,happy,1987
TRBBIBE128F4226E29.h5,Soulwax,Kill Your Darlings,,sad,1996
TRBBJBO128F92EB2C5.h5,Every Time I Die,Your Touch Versus Death,,sad,2000
TRBBJVE128F9303F10.h5,The Killers,A White Demon Love Song (Soundtrack Album Version),,sad,2009
TRBBOBO128F425FDFC.h5,DeGarmo & Key,Jericho  (Straight On Album Version),,sad,1979
TRBBQFV128F4252EFF.h5,Jack Johnson,Adrift,,sad,2008
TRBBQJZ128F92C5AF2.h5,Blue Rodeo,Fools Like You,,sad,1992
TRBBQPP128F92EE611.h5,Bob Marley & The Wailers,Three Little Birds,,happy,2007
TRBBRQE12903C9E587.h5,New York Dolls,Trash (live Paris),,sad,2000
TRBBUCK128F42AFAD6.h5,Kool Moe Dee,Death Blow,,sad,1991
TRBBVNR128E078E1E4.h5,Black Eyed Peas,Tell Your Momma Come,,happy,2000
TRBBVSO128F9341C12.h5,Martina McBride,Anything's Better Than Feelin' The Blues,,sad,1999
TRBBXEG128F424EC2C.h5,April Wine,Babes In Arms,,sad,1979
TRBBXSE128F42798F6.h5,Mariah Carey,Honey,,happy,1997
TRBBYOI128F4256732.h5,Black Flag,Out Of This World,,sad,1985
TRBBZQM128F931A529.h5,Neil Diamond,Song Sung Blue,,happy,1972
TRBCANP128F92FA6B9.h5,Evanescence,Good Enough,,sad,2006
TRBCBXZ128F14628C3.h5,Lighthouse Family,Ocean Drive,,happy,1995
TRBCDCS128F422F0CF.h5,Hatebreed,Mark My Words (Album Version),,sad,1997
TRBCDHQ128F92F9AE8.h5,Small Faces,Itchycoo Park,,happy,1967
TRBCFPP128E0781D6F.h5,The Rolling Stones,Stop Breaking Down (1994 Digital Remaster),,happy,1972
TRBCIDX128F422F215.h5,Taking Back Sunday,I Am Fred Astaire (Album Version),,happy,2004
TRBCJQH128F1497A7B.h5,Cindy Morgan,I Will Be Free (LP Version),,sad,2007
TRBCJSZ128E07969B5.h5,Coldplay,The World Turned Upside Down,,sad,2005
TRBCMJT128F14B12CC.h5,Deftones,Korea (LP Version),,sad,2000
TRBCPTO12903CBBFD9.h5,4Him,He Never Changes,,happy,1991
TRBCRCV128F933860B.h5,Tammy Wynette,It Is No Secret (What God Can Do),,happy,1969
TRBCSTN12903D13548.h5,Billie Jo Spears,'57 Chevrolet,,happy,1990
TRBCSZQ128F92F9043.h5,White Heart,Speed Of Sound (Emergency Broadcast Album Version),,happy,2005
TRBCUPT128F1462B73.h5,Thrice,All That's Left,,sad,2003
TRBCWYJ128F93213A1.h5,Eleanor McEvoy,Easy To Lose Hope,,sad,1999
TRBDBJM128F1456D2D.h5,MxPx,Drum Machine Joy,,sad,1995
TRBDBOI128E07817D7.h5,Electric Light Orchestra,Queen Of The Hours (2001 Digital Remaster),,sad,1971
TRBDENB128F42B7798.h5,Bone Thugs-N-Harmony,2 Glocks,,sad,2000
TRBDHKL128F426BE45.h5,Rihanna,Good Girl Gone Bad,,sad,2007
TRBDIBC12903CE95C2.h5,Nick Cave & The Bad Seeds,Christina The Astonishing (2010 Digital Remaster),,sad,1992
TRBDJNF12903CE6967.h5,Melissa Auf der Maur,The Key,,sad,2010
TRBDMDS128F930B8F1.h5,System of a Down,Streamline,,sad,2001
TRBDNZI128F14A9065.h5,Foghat,Zig-Zag Walk,,happy,1983
TRBDRFM128F9301DAD.h5,The Winans,The Question Is (Album Version),,sad,1981
TRBDSLA128F4288246.h5,Toni Braxton,Best Friend,,sad,1993
TRBDSXN128F4293DA9.h5,Republica,Pub Pusher,,sad,1998
TRBDTZX128F92DFA66.h5,Jars Of Clay,Don't Stop,,happy,2009
TRBDUSM128F9339A13.h5,Maximilian Hecker,Let Me Out,,sad,2001
TRBDVZL128F92F579F.h5,Dickies,Pretty Please Me,,happy,1983
TRBDWDQ128F1455787.h5,3 Doors Down,Here Without You,,sad,2002
TRBDWLE128F42B3112.h5,Barry Manilow,This One's For You,,sad,1976
TRBDXVN128F42334DD.h5,Busta Rhymes,When Disaster Strikes (Explicit LP Version),,sad,1997
TRBDYHX128F14ADE2B.h5,Josh Turner,Softly And Tenderly,,sad,2004
TRBDYIC128F92F1D17.h5,Slum Village,CB4,,sad,2000
TRBEACH128EF341C45.h5,Simply Red,So Not Over You (Motivo-Pop Lectro Mix),,sad,2007
TRBEATE128E078F0D8.h5,Bon Jovi,Only Lonely,,sad,1985
TRBECKU128F428B08A.h5,Erick Sermon,I'm Hot,,happy,2001
TRBECNW128F426BE82.h5,Mariah Carey,Touch My Body,,happy,2008
TRBEELS128F42B63A8.h5,Arc Angels,Sent By Angels,,happy,1992
TRBEIAM12903CF4476.h5,Randy Travis,Don't Take Your Love Away From Me (Album Version),,sad,1996
TRBEIBI12903CBD2B6.h5,Bryan White,Love Happens Just Like That (LP Version),,happy,1999
TRBEIBI12903CC4C7B.h5,The Roches,Losing True (Album Version),,sad,1982
TRBEKMX128F92D7B75.h5,Guns N' Roses,Sweet Child O' Mine,,happy,1987
TRBENDH128F1467D62.h5,Devo,Be Stiff (Live),,happy,1993
TRBEOSC128F426AB23.h5,System of a Down,War?,,sad,1996
TRBEOUP12903CF652E.h5,Joe Bonamassa,So Many Roads,,sad,2006
TRBEVII12903CA1A06.h5,Blind Willie Johnson,John the Revelator,,sad,1991
TRBEYDS128F148C563.h5,Erick Sermon,Erick Sermon,,happy,1993
TRBEYVD12903CE3DE9.h5,Pepper,Point And Shoot (Demo),,happy,2007
TRBFAKP128F148B600.h5,Blackfoot,Heart's Grown Cold (LP Version),,happy,1983
TRBFBOG128F9356C6E.h5,EPMD,Head Banger,,sad,1992
TRBFHQG128F93092E5.h5,Donnie McClurkin,Psalm 27,,happy,2000
TRBFHRA128F424D28A.h5,Bessie Smith,Chicago Bound Blues,,sad,1991
TRBFHSR128F1472A36.h5,Talking Heads,Papa Legba (2005 Digital Remaster),,sad,1986
TRBFIHG128F4289CF9.h5,The Ataris,Make It Last,,sad,1997
TRBFIUJ12903CFEB7C.h5,Winds Of Plague,Origins And Endings,,sad,2008
TRBFJGB128F42612B1.h5,Brooke Valentine,American Girl,,happy,2005
TRBFKMN128F4286D1B.h5,Behemoth,Malice,,sad,2000
TRBFLER128F148C52B.h5,The Mighty Mighty Bosstones,Pictures To Prove It,,sad,1994
TRBFMAS128E078F352.h5,The Cardigans,Marvel Hill,,sad,1998
TRBFMGQ128F931E0A0.h5,Kenny Rogers,Love Is What We Make It,,happy,1999
TRBFNDW128F9359ECE.h5,Mississippi John Hurt,Coffee Blues,,happy,1966
TRBFPCL128F1481F2A.h5,Robert Palmer,Man Smart Woman Smarter,,happy,1992
TRBFPRL128F14569B9.h5,Leona Naess,Paper Thin,,sad,2000
TRBFSNP128F14572B5.h5,Vixen,One Night Alone,,happy,1988
TRBFVMO128F14537D3.h5,Gorillaz,All Alone (Live),,sad,2005
TRBFVZI128F147FCAF.h5,Phil Collins,Please Come Out Tonight,,sad,1993
TRBFWSP128F92F29B4.h5,Warrant,Bed Of Roses,,happy,1990
TRBFWYX128F145F889.h5,Lil Wayne,Fly Talkin',,sad,2002
TRBGAWQ128F9305F25.h5,Seventh Day Slumber,Famous One,,happy,2009
TRBGBGO128F4264203.h5,Firehouse,Talk Of The Town,,happy,1992
TRBGBUY128F422B413.h5,Casiotone For The Painfully Alone,Attic Room,,sad,2003
TRBGCAK128F425F3CC.h5,The Prodigy,Firestarter,,sad,1996
TRBGCLK128F4237A50.h5,Phil Collins,Testify,,sad,2002
TRBGCUP12903CCFE38.h5,Adam Ant,Mohair Locker Room Pin-Up Boys,,happy,1998
TRBGDQS128F9341414.h5,Gary Go,Open Arms,,sad,2009
TRBGDXT128F1487E86.h5,He Is Legend,Stampede,,sad,2006
TRBGEGB128F9345BD0.h5,Cece Winans,Come On Back Home,,sad,1998
TRBGGBF128F425E4D1.h5,bel canto,Rumour (Abstract Hip Hop Mix),,happy,1996
TRBGGOS128F9307FC5.h5,Remy Shand,The Second One,,happy,2002
TRBGHRA128F42B90E6.h5,The Cardigans,Explode,,sad,1998
TRBGJDW128F4292EDB.h5,Alicia Keys,Karma,,sad,2003
TRBGKZD12903D13D23.h5,Ned Miller,From A Jack To A King,,happy,1963
TRBGLSW12903CE3D8A.h5,Grandmaster Flash,Underarms,,happy,1987
TRBGMJF128F425E8EA.h5,30 Seconds To Mars,End Of The Beginning,,sad,2002
TRBGNNC128F148D427.h5,EPMD,For My People,,sad,1990
TRBGNUG128F92D43E2.h5,Naughty By Nature,Ring The Alarm,,sad,1999
TRBGOAU128F4255BDA.h5,Janet Jackson,Again (Instrumental),,sad,1993
TRBGODE128E0785BC8.h5,Ben Jelen,Come On (Sessions@AOL Version),,sad,2004
TRBGPCC128F428FF02.h5,Suicidal Tendencies,Looking In Your Eyes,,sad,1987
TRBGPWE128F421CCB4.h5,Roger Creager,All For The Sake Of The Song,,sad,2003
TRBGRIP128F147FCA6.h5,Phil Collins,Everyday,,sad,1993
TRBGULP128F422F290.h5,Silverstein,Defend You (Album Version),,sad,2005
TRBGWGD128F42418B2.h5,Life In Your Way,When Rules Change,,happy,2005
TRBGWVI128E0788AE7.h5,22-20s,Hold On,,sad,2004
TRBGXHJ128F93302C7.h5,FFH,Listen,,sad,2005
TRBGYDZ12903D075D4.h5,Patty Griffin,All Creatures Of Our God And King,,happy,2010
TRBGYVK128F426A0D6.h5,Joey Negro,Make A Move On Me,,happy,2005
TRBGZKO128F92DB016.h5,Bloc Party,Zephyrus,,sad,2008
TRBHAUR128F147481A.h5,Atreyu,Shameful (LP Version),,sad,2006
TRBHBGB128F931E4CF.h5,Hall & Oates,Fall in Philadelphia,,sad,1972
TRBHCQA128F149F192.h5,Jimmy Wayne,She Runs,,happy,2003
TRBHEBY128F148CF2B.h5,Sister Hazel,Concede,,sad,1997
TRBHFTL128F933AF4E.h5,Basement Jaxx,Feelings Gone (feat. Sam Sparro) (Joachim Garraud Remix),,sad,2009
TRBHGUK128E078E031.h5,Jesus Jones,Yellow Brown,,sad,1993
TRBHIRB128F1452ACC.h5,Deftones,No Ordinary Love (Remastered LP Version),,sad,2005
TRBHJAY128F14A9061.h5,Foghat,Dead End Street,,happy,1980
TRBHJLT128F1460832.h5,UFO,Cherry,,happy,1978
TRBHJPQ128E078ED8F.h5,Queens Of The Stone Age,Everybody's Gonna Be Happy,,happy,2002
TRBHJUJ128F92EBE24.h5,George Harrison,All Things Must Pass (2009 Digital Remaster),,sad,1970
TRBHKCL128F425A036.h5,George Michael,Shoot The Dog,,happy,2004
TRBHKKK128F427E9FF.h5,3 Doors Down,Better Life,,sad,2007
TRBHKXX128F4252D02.h5,Radiohead,Everything In Its Right Place,,sad,2000
TRBHLGE128F42A64E5.h5,Talib Kweli,Everything Man (Album Version),,sad,2007
TRBHNUB12903CC2475.h5,Open Hand,Tough Guy,,sad,2004
TRBHORY128F148D422.h5,EPMD,I'm Mad,,sad,1990
TRBHOXV128F92FBB72.h5,Eddy Arnold,Molly Darling,,happy,1956
TRBHQAU128F9316C04.h5,The Game,Scream On Em,,sad,2006
TRBHQHN128F148A1B3.h5,Dinosaur Jr,Green Mind,,sad,1991
TRBHSJX128F42BAE98.h5,Jesse Malin,Harmony,,sad,2008
TRBHUPU128F4230F81.h5,Wednesday 13,Haunt Me (Album Version),,sad,2005
TRBHUVB128F148ADB8.h5,Darryl Worley,Where You Think You're Goin'?,,sad,2002
TRBHVLH128F92F2369.h5,Sandi Thom,When Horsepower Meant What It Said,,happy,2006
TRBHYAU128F9334703.h5,Chimaira,Army Of Me (Album Version),,sad,2003
TRBHZNF128F14989FE.h5,The Ronettes,(The Best Part Of) Breakin' Up,,happy,1964
TRBHZUN12903CA60F7.h5,Charlotte Gainsbourg,IRM,,sad,2009
TRBHZYO128E07862BE.h5,DMX,Look Thru My Eyes,,sad,1998
TRBIAHA128F42A4C9B.h5,Public Image Ltd,This Is Not A Love Song,,happy,1983
TRBIAVP12903CEDA19.h5,Joe Bonamassa,I Know A Place,,sad,2010
TRBIAVU128EF3493BA.h5,Asleep At The Wheel,The Letter That Johnny Walker Read,,sad,2002
TRBIBAQ128F93279F5.h5,Bad Company,Crazy Circles,,happy,1979
TRBIBGN128F42ADC66.h5,Phantom Planet,The Meantime,,happy,2004
TRBIBLJ12903CCF436.h5,Madonna,Papa Don't Preach,,sad,1986
TRBIBTE128E078E882.h5,The Jam,Start!,,sad,1980
TRBIBVM128F4262E9D.h5,Drop Dead_ Gorgeous,Are You Happy (Album Version),,sad,2006
TRBICGT128E0792473.h5,Guns N' Roses,Patience,,sad,1988
TRBICRP128F42882BB.h5,Dungeon Family,Follow The Light,,sad,2001
TRBICVB128F9326B65.h5,Strata,Night Falls (The Weight Of It),,sad,2007
TRBIDUK128F42806A4.h5,Tampa Red,No Matter How She Done It,,happy,1974
TRBIEIZ128F148D778.h5,Kanye West,Diamonds From Sierra Leone,,happy,2005
TRBIFGK128F92F23A2.h5,The Killers,A Dustland Fairytale,,sad,2008
TRBIFUV12903D07374.h5,Minnie Riperton,Lovin' You,,happy,1974
TRBIFWB128F1460D8C.h5,Mötley Crüe,Merry-Go-Round,,happy,1981
TRBIGGV12903CABC77.h5,4Him,Strange Way To Save The World,,happy,2000
TRBIGRU128F145B139.h5,Alias,Standing In The Darkness,,happy,1990
TRBIGRY128F42597B3.h5,Sade,All About Our Love,,sad,2000
TRBIIEU128F9307C88.h5,New Found Glory,Don't Let Her Pull You Down,,happy,2009
TRBIIJY12903CE4755.h5,Mindy McCready,Ten Thousand Angels,,happy,1996
TRBIIOT128F423C594.h5,Joy Division,Leaders Of Men,,sad,1978
TRBIJYB128F14AE326.h5,Seventh Day Slumber,Shattered Life,,sad,2005
